Material Family,Rate (mm/yr) or Rating,Rate (mils/yr) or Rating,UNS,Temperature (deg C),pH,Salinity (g/L),Humidity (%)
Alloy steel,0.005,0.19,K11510,,6.9,9.9,58.1
Alloy steel,0.003,0.1,K11510,,5.9,0.1,38.1
Alloy steel,0.001,0.06,K11510,,7.6,3.1,71.2
Alloy steel,0.015,0.6,K11510,,8.9,0.6,98.3
Alloy steel,0.009,0.37,K11510,,7.4,3.2,68.3
Alloy steel,0.006,0.26,K11510,,6.4,4.1,48.6
Alloy steel,0.004,0.17,K11510,,7.6,9.2,71.8
Alloy steel,0.004,0.16,K11510,,5.5,0.8,29.8
Alloy steel,0.004,0.16,K11510,,8.6,7.8,91.1
Alloy steel,0.002,0.09,K11510,,7,4,60.2
Alloy steel,0.001,0.05,K11510,,6.8,8.1,55.9
Alloy steel,0.009,0.37,K11510,,7.3,5.1,66.9
Alloy steel,0.004,0.17,K11510,,7.5,0.4,70
Alloy steel,0.002,0.09,K11510,,5.3,9.5,25.7
Alloy steel,0.001,0.05,K11510,,7.7,0.8,74.6
Alloy steel,0.008,0.33,K11510,,6,6,39.4
Alloy steel,0.002,0.19,K11510,,7.9,8.8,77.1
Alloy steel,0.002,0.07,K11510,,8.3,0.8,85.8
Tin brass,A (Resistant),A (Resistant),C46400,,8.2,5.5,84.3
Alloy steel,0.003,0.12,K11510,,7.2,8.2,64.2
Alloy steel,0.055,2.2,K11510,,7.1,9.9,61.6
Alloy steel,0.021,0.83,K11510,,5.6,7.2,31.4
Alloy steel,0.049,1.94,K11510,,8.1,2.8,82
Alloy steel,0.003,0.11,K11630,,6.1,7,41.7
Alloy steel,0.005,0.2,K11630,,7,7.1,59.7
Alloy steel,0.002,0.06,K11630,,6.1,7,42.7
Alloy steel,0.018,0.7,K11630,,5.5,8.5,30.7
Alloy steel,0.01,0.4,K11630,,7.5,0.9,70.4
Alloy steel,0.007,0.27,K11630,,5.2,1.1,24.3
Alloy steel,0.005,0.19,K11630,,8,6.4,79.9
Alloy steel,0.004,0.17,K11630,,6.3,9.5,45.4
Alloy steel,0.003,0.1,K11630,,5,4.7,20
Alloy steel,0.002,0.06,K11630,,7,9.6,60.9
Alloy steel,0.01,0.4,K11630,,5.2,9.4,23.7
Austenitic,D (Poor),D (Poor),S30403,,6.1,9,42.1
Alloy steel,0.005,0.2,K11630,,7.8,9.1,76.6
Alloy steel,0.003,0.11,K11630,,5.3,9,25
Alloy steel,0.002,0.06,K11630,,8.4,8.2,87.1
Alloy steel,0.008,0.33,K11630,,5,6.9,20.3
Alloy steel,0.005,0.21,K11630,,6,0.2,39.7
Alloy steel,0.003,0.13,K11630,,8,1.3,79.3
Alloy steel,0.002,0.08,K11630,,6.3,1.3,45.3
Alloy steel,0.028,0.11,K11630,,5.4,0.2,28.2
Alloy steel,0.014,0.55,K11630,,6.4,1.2,48.8
Alloy steel,0.013,0.55,K11630,,6.1,9.2,41.6
Alloy steel,0.04,1.6,K11576,,8.4,6.6,87.4
Alloy steel,0.025,1,K11576,,6.3,3.1,45.1
Alloy steel,0.014,0.56,K11576,,8.2,7.9,83.1
Alloy steel,0.008,0.31,K11576,,8.6,4.9,91.3
Alloy steel,0.006,0.26,K11576,,6.7,1.4,54.7
Austenitic,D (Poor),D (Poor),S30453,,8.6,8.8,92.8
Alloy steel,0.013,0.53,K11576,,6.5,3.4,50.2
Alloy steel,0.009,0.34,K11576,,8.9,7,97.1
Alloy steel,0.013,0.5,K11576,,5.4,2.9,27.1
Alloy steel,0.009,0.34,K11576,,7.7,5,75
Alloy steel,0.018,0.7,K11576,,7,8.2,59.5
Alloy steel,0.013,0.53,K11576,,6.6,1.6,51
Alloy steel,0.014,0.55,K11576,,7.5,9.8,70.6
Alloy steel,0.005,0.2,K11630,,7.8,0.7,76.3
Alloy steel,0.003,0.11,K11630,,5,5.3,20.3
Alloy steel,0.002,0.06,K11630,,5.7,9.2,33.4
Alloy steel,0.018,0.7,K11630,,7.9,9.5,77
Alloy steel,0.01,0.4,K11630,,7.7,2.3,73.3
Alloy steel,0.007,0.27,K11630,,8.9,1.4,97.3
Alloy steel,0.005,0.19,K11630,,8,7.2,80.9
Alloy steel,0.004,0.17,K11630,,8.8,0.4,96.1
Austenitic,D (Poor),D (Poor),S31620,,7.8,4.9,76.2
Alloy steel,0.003,0.1,K11630,,6.2,8,43.8
Alloy steel,0.002,0.06,K11630,,5.4,5.6,28.4
Alloy steel,0.01,0.4,K11630,,8.1,1.9,82.5
Alloy steel,0.005,0.2,K11630,,7.6,4.9,71.5
Alloy steel,0.003,0.11,K11630,,5.2,9.2,23.9
Alloy steel,0.002,0.06,K11630,,6.4,6.2,48.8
Alloy steel,0.008,0.33,K11630,,8.8,7.2,96.5
Alloy steel,0.005,0.21,K11630,,7,3.4,60
Alloy steel,0.003,0.13,K11630,,6.7,1.9,54.6
Alloy steel,0.002,0.08,K11630,,6.8,2.6,56.6
Alloy steel,0.028,0.11,K11630,,5.8,5.3,36.7
Alloy steel,0.014,0.55,K11630,,6.5,2.8,49.5
Alloy steel,0.013,0.55,K11630,,6.5,5.4,49.6
Alloy steel,0.04,1.6,K11576,,5.2,7.1,24.2
Alloy steel,0.025,1,K11576,,8.1,7.3,81.4
Lead and alloys,0.0019,0.077,L50045,,6.7,1.6,53.3
Alloy steel,0.014,0.56,K11576,,8.3,7.5,85.8
Alloy steel,0.008,0.31,K11576,,8.4,6.7,88
Alloy steel,0.006,0.26,K11576,,5.8,0.1,37
Alloy steel,0.013,0.53,K11576,,7.6,0.6,72.6
Alloy steel,0.009,0.34,K11576,,6.9,6.5,57.8
Alloy steel,0.013,0.5,K11576,,8.5,3.8,90.4
Alloy steel,0.009,0.34,K11576,,5.9,1.5,37.3
Alloy steel,0.018,0.7,K11576,,7.7,0.4,74.2
Alloy steel,0.013,0.53,K11576,,7.4,1.6,68.6
Alloy steel,0.014,0.55,K11576,,6.2,9.6,43.6
Alloy steel,0.006,0.26,K11430,,5.5,7.3,30.9
Alloy steel,0.004,0.14,K11430,,7.6,5.3,72.1
Alloy steel,0.02,0.8,K11430,,8,9.4,79.1
Alloy steel,0.014,0.57,K11430,,6.3,6.2,45.3
Alloy steel,0.009,0.36,K11430,,7.6,7.3,71.6
Alloy steel,0.006,0.25,K11430,,6.6,2.8,51.6
Alloy steel,0.006,0.24,K11430,,7.9,5.9,77.1
Alloy steel,0.005,0.2,K11430,,5.8,1.4,35.9
Alloy steel,0.003,0.1,K11430,,8.6,4,91.2
Alloy steel,0.012,0.47,K11430,,6.1,0.3,43
Alloy steel,0.008,0.3,K11430,,6.5,2.2,49.4
Alloy steel,0.004,0.16,K11430,,5.2,0.7,24.6
Alloy steel,0.011,0.43,K11430,,5.4,3.9,28.9
Alloy steel,0.007,0.27,K11430,,7.1,8.4,61.3
Alloy steel,0.005,0.18,K11430,,6.1,3.8,41.4
Alloy steel,0.095,3.8,K11430,,8.3,8.3,86.8
Alloy steel,0.076,3.05,K11430,,5.1,6.6,21.2
Alloy steel,0.1,4.1,K11430,,6.5,5.1,50.3
Alloy steel,0.095,3.9,K11430,,6.3,2.4,47
Alloy steel,0.015,0.59,K12810,,5.1,9.2,21.5
Phosphor bronze,A (Resistant),A (Resistant),C52100,,5.5,0.5,29.9
Alloy steel,0.025,1,K12810,,6.7,6.9,53.1
Alloy steel,0.15,5.91,K12810,,7,6.2,59.4
Alloy steel,0.009,0.37,K12810,,6.6,4.4,52.3
Alloy steel,0.005,0.21,K12810,,7.1,2.4,62.5
Alloy steel,0.003,0.13,K12810,,7.4,4.3,67.6
Alloy steel,0.02,0.8,K12810,,5,8.7,20.8
Alloy steel,0.016,0.63,K12810,,6.9,8.4,57.1
Alloy steel,0.012,0.47,K12810,,8.9,9.4,97.1
Alloy steel,0.008,0.3,K12810,,7.1,3.1,61.5
Alloy steel,0.007,0.26,K12810,,7.7,3.9,74.2
Alloy steel,0.006,0.24,K12810,,6.2,0.2,44.9
Alloy steel,0.004,0.16,K12810,,8.1,9.4,81.9
Alloy steel,0.003,0.12,K12810,,8.1,3.3,81.8
Alloy steel,0.014,0.56,K12810,,7.1,4,61.7
Alloy steel,0.009,0.36,K12810,,8.9,9.1,98.1
Tin brass,B (Good),B (Good),C46400,,5.5,5.3,30
Alloy steel,0.005,0.21,K12810,,5.1,5.7,21.4
Alloy steel,0.004,0.15,K12810,,8.1,1.8,81.6
Alloy steel,0.012,0.46,K12810,,8.2,5,84.6
Alloy steel,0.008,0.31,K12810,,5.5,9.2,29.6
Alloy steel,0.005,0.21,K12810,,6.1,5.6,41.2
Alloy steel,0.004,0.15,K12810,,5.1,2.6,21.4
Alloy steel,0.11,4.3,K12810,,6.2,0.3,43.5
Alloy steel,0.12,4.8,K12810,,8.1,3.4,81.9
Alloy steel,0.14,5.4,K12810,,7.1,5.7,61.4
Alloy steel,,,K12810,,6.4,0.4,47.8
Carbon steel,0.055,2.2,G10100,,6.5,6.1,49.7
Carbon steel,0.026,1.04,G10100,,5,5.2,20.1
Carbon steel,0.027,1.08,G10100,,6.2,7.8,44
Carbon steel,0.028,1.12,G10100,,7.6,0.3,71.7
Carbon steel,0.024,0.96,G10100,,8.9,7.8,97.9
Brass,0.0002,0.006,C26000,,8.4,5.2,87.8
Carbon steel,0.024,0.96,G10100,,5.1,3.7,21.9
Carbon steel,0.029,1.16,G10100,,8.6,9.7,91.9
Carbon steel,0.036,1.44,G10100,,8.1,1.6,82.7
Carbon steel,0.03,1.2,G10100,,8.1,5.4,82.4
Carbon steel,0.037,1.5,G10100,,6.8,3.2,56.6
Carbon steel,0.033,1.3,G10100,,6.6,5.3,51.8
Carbon steel,0.031,1.24,G10500,20,6.2,5.5,44.2
Carbon steel,0.031,1.24,G10500,20,5.3,0.9,25.3
Carbon steel,0.088,3.5,G10500,20,5.9,6.6,38.3
Carbon steel,0.038,1.5,G10500,20,6,6.3,39.7
Carbon steel,0.062,2.51,G10500,20,6.9,7.7,58.7
Carbon steel,0.23,9.5,G10500,20,8,0.9,79.8
Carbon steel,0.038,1.5,G10500,20,6.9,3,57.9
Carbon steel,0.15,6.02,G10500,20,5.2,6.5,24.6
Carbon steel,0.35,14,G10500,20,8.8,1.4,96.6
Carbon steel,0.012,0.47,G10100,,8.8,6.8,95.4
Carbon steel,0.007,0.27,G10100,,8.1,0.6,82.8
Carbon steel,0.004,0.17,G10100,,9,3.3,99.3
Carbon steel,0.023,0.9,G10100,,7.2,8.5,63.6
Carbon steel,0.019,0.77,G10100,,8.9,7.7,97
Carbon steel,0.018,0.7,G10100,,5.3,6.4,26
Carbon steel,0.009,0.37,G10100,,6.5,8.7,49.3
Carbon steel,0.007,0.29,G10100,,5.9,7.1,38
Carbon steel,0.005,0.2,G10100,,5.8,5.2,35.7
Carbon steel,0.004,0.15,G10100,,5.6,9.8,31.3
Carbon steel,0.018,0.73,G10100,,7.5,6.9,69.8
Carbon steel,0.013,0.53,G10100,,8.1,6,82.5
Carbon steel,0.009,0.34,G10100,,7.3,4.1,66.3
Carbon steel,0.006,0.24,G10100,,5.6,9,31.8
Carbon steel,0.015,0.6,G10100,,8.2,3,84.9
Carbon steel,0.01,0.41,G10100,,7.5,0.1,70.9
Carbon steel,0.008,0.31,G10100,,6.6,2,51.1
Carbon steel,0.006,0.23,G10100,,7.7,1.1,73.9
Carbon steel,0.18,7.2,G10100,,6,3.2,40.8
Carbon steel,0.23,9,G10100,,6.4,8.3,47.6
Carbon steel,0.2,8.1,G10100,,8.7,6.5,93.4
Carbon steel,,,G10100,,6.2,1.7,43.2
Aluminum bronze,0.0005,0.002,C61000,,6.9,7.9,57.6
Aluminum bronze,0.0002,0.006,C61000,,8.6,5,91.2
Aluminum bronze,0.0016,0.063,C61000,,7.8,5.1,76.6
Aluminum bronze,0.0016,0.064,C61000,,5.2,3.6,25
Aluminum bronze,0.0003,0.01,C61000,,5.6,8.6,31.8
Aluminum bronze,0.0001,0.004,C61000,,5,3.2,20.6
Aluminum bronze,A (Resistant),A (Resistant),,,7.5,0.9,70.5
Aluminum bronze,A (Resistant),A (Resistant),,,6.8,3,55.8
Aluminum bronze,A (Resistant),A (Resistant),,,5.5,7.2,30.7
Brass,A (Resistant),A (Resistant),,,8.8,6.6,96.6
Brass,A (Resistant),A (Resistant),,,7.1,1.9,62.4
Brass,A (Resistant),A (Resistant),,,6,1.1,39.4
Brass,A (Resistant),A (Resistant),C26000,,7,6.6,60
Brass,0.0024,0.095,C26000,,7.7,6.8,74.4
Brass,B (Good),B (Good),C26000,,5.3,3.7,26.1
Brass,0.0031,0.12,C26000,,6.1,8.4,42
Brass,B (Good),B (Good),C26000,,8.2,9.8,84.6
Brass,0.0005,0.018,C26000,,6.8,2.1,56.8
Brass,0.0002,0.008,C26000,,7.2,5.8,63.7
Brass,A (Resistant),A (Resistant),C22000,,6.7,0.1,54.6
Brass,A (Resistant),A (Resistant),C22000,,5.2,7.1,23.5
Brass,A (Resistant),A (Resistant),C22000,,5.7,4.1,33.3
Brass,B (Good),B (Good),C28000,,6.8,1.9,55.6
Brass,A (Resistant),A (Resistant),C28000,,5.8,7.5,36.7
Brass,B (Good),B (Good),C28000,,5.2,8.1,24
Brass,0.0001,0.004,C23000,,8.4,1.1,87.5
Brass,0.0003,0.013,C23000,,8.9,0.4,98.5
Brass,0.0019,0.074,C23000,,8.2,3.3,83.5
Brass,A (Resistant),A (Resistant),C23000,,8.4,6.3,88.3
Brass,0.0019,0.074,C23000,,6,7.9,39.4
Brass,A (Resistant),A (Resistant),C23000,,8.8,5.5,96.9
Brass,0.0005,0.018,C23000,,5.8,5.8,35.8
Brass,A (Resistant),A (Resistant),C23000,,8.8,8,96.1
Brass,0.0006,0.022,C23000,,9,5.3,99.6
Copper,0.0001,0.003,C12000,,7.8,6.1,76.9
Copper,0.0014,0.056,C12000,,8.9,5.2,98.5
Copper,0.0012,0.048,C12000,,7.3,8.8,65.6
Copper,0.0013,0.052,C12000,,6,2.4,40.8
Copper,0.0004,0.014,C12000,,6.7,2.6,55
Copper,0.0005,0.02,C12000,,7.4,1.3,67.5
Copper,0.0001,0.005,C11000,,5.3,8.2,25.8
Copper,0.0013,0.05,C11000,,7.5,4.1,69.8
Copper,0.0014,0.054,C11000,,8.9,3.5,98.5
Copper,A (Resistant),A (Resistant),C11000,,5.8,9.8,35.2
Copper,0.0014,0.055,C11000,,8.2,9.3,83.4
Copper,A (Resistant),A (Resistant),C11000,,8.6,9.7,92.6
Copper,0.0004,0.017,C11000,,8.8,1.4,95.5
Copper,A (Resistant),A (Resistant),C11000,,8.8,8.9,96.8
Copper,0.0006,0.022,C11000,,7.1,3.3,61.7
Copper,A (Resistant),A (Resistant),C12200,,8.9,0.1,98.2
Copper,A (Resistant),A (Resistant),C12200,,8,3.9,80.6
Copper,A (Resistant),A (Resistant),C12200,,5.6,5.1,32.9
Copper-nickel,A (Resistant),A (Resistant),C71500,,6.9,1.1,58.2
Copper-nickel,A (Resistant),A (Resistant),C71500,,7.9,5.4,77.5
Copper-nickel,A (Resistant),A (Resistant),C71500,,6,8.2,39.8
Copper-nickel,0.0001,0.004,,,7.6,3.8,71.2
Copper-nickel,0.0004,0.014,,,7.7,3.5,73.3
Copper-nickel,0.0021,0.084,,,5.7,3.4,33
Copper-nickel,0.0026,0.104,,,7.3,9.2,65.2
Copper-nickel,0.0005,0.019,,,8.1,0.5,81.7
Copper-nickel,0.0003,0.011,,,7,4.5,59.9
Copper-nickel,A (Resistant),A (Resistant),C70600,,5,2.6,21
Copper-nickel,A (Resistant),A (Resistant),C70600,,5,8.9,20.7
Copper-nickel,A (Resistant),A (Resistant),C70600,,6.4,1,48.6
Leaded brass,B (Good),B (Good),C38500,,8.7,4.1,94.1
Leaded brass,B (Good),B (Good),C38500,,5.9,4.1,38.3
Leaded brass,A (Resistant),A (Resistant),C38500,,7.5,8.9,70.7
Leaded brass,B (Good),B (Good),C36000,,5.9,2.2,37.8
Leaded brass,B (Good),B (Good),C36000,,6.3,6.4,45.7
Leaded brass,A (Resistant),A (Resistant),C36000,,8.4,1.3,87.8
Nickel-silver,A (Resistant),A (Resistant),,,7.9,9.5,78.3
Nickel-silver,A (Resistant),A (Resistant),,,5.4,5.9,27.6
Nickel-silver,A (Resistant),A (Resistant),,,6.7,6.3,54.3
Phosphor bronze,A (Resistant),A (Resistant),C51000,,5.1,4.3,22.3
Phosphor bronze,A (Resistant),A (Resistant),C51000,,6.9,3.4,58.5
Phosphor bronze,A (Resistant),A (Resistant),C51000,,7.6,2.1,73
Phosphor bronze,0.0023,0.091,C52100,,5.5,6,29.5
Phosphor bronze,0.0025,0.1,C52100,,6.2,9.5,43.1
Phosphor bronze,0.0022,0.088,C52100,,6.6,3.6,51.8
Phosphor bronze,A (Resistant),A (Resistant),C52100,,8.7,8.8,93.6
Phosphor bronze,0.0003,0.013,C52100,,9,1.5,99.5
Phosphor bronze,A (Resistant),A (Resistant),C52100,,5.2,9.4,23.6
Phosphor bronze,0.0007,0.028,C52100,,8,3.5,80.9
Phosphor bronze,0.0001,0.005,C52100,,6.5,3.8,49.7
Silicon bronze,0.0002,0.006,C65500,,6.6,4.6,51.4
Silicon bronze,0.0014,0.054,C65500,,8,7.2,80.3
Silicon bronze,0.0017,0.068,C65500,,8.7,7.2,93.5
Silicon bronze,A (Resistant),A (Resistant),C65500,,8.8,4.8,96.1
Silicon bronze,0.0017,0.065,C65500,,7.3,5.2,66.2
Silicon bronze,A (Resistant),A (Resistant),C65500,,6.4,0.3,48.6
Silicon bronze,0.0005,0.02,C65500,,8.2,3,83
Silicon bronze,A (Resistant),A (Resistant),C65500,,6,3.5,40.1
Silicon bronze,,,C65500,,7.3,5.6,65.1
Silicon bronze,A (Resistant),A (Resistant),C65100,,6.4,5.6,48.7
Silicon bronze,A (Resistant),A (Resistant),C65100,,7.6,7.1,72.5
Silicon bronze,A (Resistant),A (Resistant),C65100,,6,7.2,39.2
Tin brass,A (Resistant),A (Resistant),C44300,,5.8,2.4,35.3
Tin brass,A (Resistant),A (Resistant),C44300,,8.7,7.7,93.5
Tin brass,A (Resistant),A (Resistant),C44300,,5.4,0.2,28.1
Tin brass,0.0001,0.004,C44200,,7,7.2,60.5
Tin brass,0.0003,0.013,C44200,,5.9,1,37.7
Tin brass,0.0025,0.099,C44200,,5.2,7.3,23.1
Tin brass,0.0021,0.084,C44200,,5.1,5.3,22.9
Tin brass,0.0005,0.021,C44200,,5.7,4.4,34
Tin brass,,,C44200,,8.5,6.9,89.3
Lead and allloys,0.0006,0.023,L51120,,6.1,0.4,42.6
Lead and alloys,0.0003,0.013,,,8.8,2.2,96
Lead and alloys,0.0006,0.023,,,7.3,6.2,66.5
Lead and alloys,0.0005,0.02,,,6.7,8.5,54.9
Lead and alloys,0.0006,0.023,,,7.3,3.8,66.4
Lead and alloys,0.0003,0.014,,,7.1,2.6,61.3
Lead and alloys,0.0005,0.022,,,8,5.2,80.7
Lead and alloys,0.0003,0.012,,,6.1,6.2,42.6
Lead and alloys,0.0001,0.004,,,6.4,4.2,48.2
Lead and alloys,0.001,0.041,L53110,,8.6,8.8,91.5
Lead and alloys,0.001,0.042,L53110,,8.8,5.2,95.7
Lead and alloys,0.001,0.039,L53110,,8.6,0.4,91.4
Lead and alloys,0.0006,0.026,L53110,,6.7,2.2,53.6
Lead and alloys,0.0014,0.056,L50045,,8.1,4.5,82.4
Lead and alloys,0.0018,0.074,L50045,,6.9,7,58.1
Lead and alloys,0.0017,0.07,L50045,,7,2.2,59.8
Brass,A (Resistant),A (Resistant),C28000,,5.8,9.8,36.4
Lead and alloys,0.0009,0.037,L50045,,7.4,3.2,67.3
Lead and alloys,0.0014,0.056,L51120,,5.7,5.3,34.9
Lead and alloys,0.0007,0.03,L51120,,6.3,0.2,46.5
Lead and alloys,0.0013,0.053,L51120,,8.4,8.8,88.4
Lead and alloys,0.0005,0.021,L51120,,5.8,7.9,36.6
Lead and alloys,0.0013,0.052,L51120,,5.3,2,25.7
Lead and alloys,0.0007,0.029,L51120,,5.3,9.3,25.5
Lead and alloys,0.0004,0.015,L51120,,8.8,3.2,95.3
Lead and alloys,0.0003,0.013,L51120,,7,6.9,60.6
Lead and alloys,0.0014,0.055,L51120,,6.6,8.2,52.8
Lead and alloys,0.0005,0.021,L51120,,8.2,7.4,84.9
Lead and alloys,0.0001,0.004,L51120,,8.3,9.2,86.9
Lead and alloys,0.0009,0.036,L51120,,6.3,8.6,46.6
Magnesium and alloys,0.027,1.09,,,7.8,9.9,75.5
Magnesium and alloys,0.018,0.7,,,8.1,1.8,81.7
Magnesium and alloys,0.013,0.53,,,7.6,3,72.4
Tin and alloys,0.0023,0.09,,,5.6,6.4,32.1
Tin and alloys,0.0019,0.075,,,8.5,7.3,90.1
Tin and alloys,0.0017,0.067,,,7.2,5.3,63.1
Tin and alloys,0.0029,0.11,,,6.1,0.7,42.6
Brass,A (Resistant),A (Resistant),C23000,,6.7,8.4,54
Tin and alloys,0.0013,0.051,,,5.2,9.6,23
Tin and alloys,0.0005,0.019,,,5.5,4.1,30.2
Tin and alloys,0.0004,0.017,,,8.1,2.2,81.2
Zinc alloys,0.004,0.15,Z13001,20,5,0.2,20
Zinc alloys,0.006,0.25,Z13001,20,6.7,2.4,53.3
Zinc alloys,0.015,0.6,Z13001,20,7.1,7,61.8
Zinc alloys,0.004,0.15,Z13001,20,5.2,9.1,24.4
Zinc alloys,0.006,0.25,Z13001,20,8.9,0.9,97.8
Zinc alloys,0.019,0.75,Z13001,20,5.9,5.5,38.1
Zinc alloys,0.004,0.15,Z13001,20,6.2,7,44.3
Zinc alloys,0.015,0.6,Z13001,20,6.2,2.8,44.3
Zinc alloys,0.04,1.6,Z13001,20,5.9,5.7,38.4
Zinc alloys,0.19,7.5,Z13001,22,5,7.2,20.1
Zinc alloys,0.35,14,Z13001,22,7.9,8.4,78.3
Zinc alloys,0.53,21,Z13001,22,8.9,4.5,97.3
Zinc alloys,0.2,7.9,Z13001,22,5.9,7.5,37.9
Austenitic,D (Poor),D (Poor),S31603,,7.7,3,73
Zinc alloys,0.06,2.2,Z13001,22,8,2.1,79.4
Zinc alloys,0.55,22,Z13001,22,8.4,1.9,87.9
Zinc alloys,0.65,26,Z13001,22,6.7,3.6,53.8
Zinc alloys,0.33,13,Z13001,22,6.2,0.4,44.2
Zinc alloys,0.33,13,Z13001,22,6.3,2.8,46
Zinc alloys,0.003,0.1,Z13001,22,7.9,6.5,77
Austenitic,,,S20100,,8.3,6.5,85.3
Austenitic,,,S20100,,5.7,0.7,34.5
Austenitic,,,S20100,,6.5,2.9,49.7
Austenitic,,,S20100,,8.6,5.7,92.2
Austenitic,,,S20100,,8.2,3.2,84.5
Austenitic,,,S20100,,8.9,4.2,98.8
Austenitic,,,S20100,,8,7.1,80.3
Austenitic,,,S20100,,6.6,0.1,51.5
Austenitic,,,S20100,,7.4,2.8,67.3
Austenitic,,,S20100,,7.6,1.4,72.9
Austenitic,,,S20100,,5.3,1.3,26.3
Austenitic,,,S20100,,7.2,9.6,63.6
Austenitic,A (Resistant),A (Resistant),S30100,,7.8,3.8,76.7
Austenitic,,,S30100,,5.7,5.3,33.4
Austenitic,,,S30100,,8.1,7.3,82.5
Austenitic,,,S30100,,7.3,0.5,66.7
Austenitic,,,S30100,,8.8,2.4,96.2
Austenitic,,,S30100,,5.2,8.3,23.4
Austenitic,,,S30100,,6.1,8.6,41.2
Austenitic,,,S30100,,7.4,3.7,68.1
Austenitic,,,S30100,,6.2,3.7,43.7
Austenitic,A (Resistant),A (Resistant),S30200,,7.9,7.6,77.2
Austenitic,,,S30200,,8,3,80.7
Austenitic,,,S30200,,5.4,1.2,28.2
Austenitic,,,S30200,,7.1,2.6,61.1
Austenitic,,,S30200,,7,3.9,60.7
Copper,A (Resistant),A (Resistant),C11000,,6.5,0.5,49.5
Austenitic,,,S30200,,8.7,4.8,94.6
Austenitic,,,S30200,,8.3,7.4,86.2
Austenitic,,,S30200,,7.8,5.1,75.8
Austenitic,,,S30200,,7.9,0.7,77.1
Austenitic,,,S30200,,6.8,4.4,56.9
Austenitic,,,S30200,,8.7,7.1,93.7
Austenitic,B (Good),B (Good),S30300,,7.8,0.6,75.6
Austenitic,A (Resistant),A (Resistant),S30300,,7.9,0.6,78.3
Austenitic,A (Resistant),A (Resistant),S30400,,8.4,3.7,88.9
Austenitic,,,S30400,,6.1,1.9,41.9
Austenitic,,,S30400,,8.2,9.3,84.6
Austenitic,,,S30400,,5.8,5.8,35.6
Austenitic,,,S30400,,6.4,2.9,47.6
Austenitic,A (Resistant),A (Resistant),S31600,,6.3,7,46.8
Austenitic,,,S31600,,8.9,3.7,98.3
Austenitic,,,S31600,,8.4,1.3,88.5
Austenitic,,,S31600,,7.8,2.4,76.1
Copper,A (Resistant),A (Resistant),C12200,,7.9,6.4,78.2
Austenitic,,,S31600,,7.2,0.5,65
Austenitic,A (Resistant),A (Resistant),S32100,,8.8,2.7,95.8
Austenitic,,,S32100,,7,2.1,59.7
Austenitic,,,S32100,,6.5,2,50.4
Austenitic,A (Resistant),A (Resistant),S34700,,5.7,6.8,33
Austenitic,,,S34700,,8.1,8.3,82.9
Austenitic,,,S34700,,7.9,7.2,78.8
Austenitic,,,,,6.5,6.5,50.7
Austenitic,,,,,5.1,9.2,22
Austenitic,,,,,8.4,0.6,87.1
Austenitic,,,,,5,1.7,20.9
Austenitic,A (Resistant),A (Resistant),S30403,,7.8,4.1,76.3
Austenitic,,,S30403,,8.9,3.7,97.6
Austenitic,,,S30403,,6.8,4.2,55
Austenitic,A (Resistant),A (Resistant),S30453,,5.9,2.1,38.8
Austenitic,A (Resistant),A (Resistant),S31620,,7.8,1.5,76.4
Austenitic,A (Resistant),A (Resistant),S31603,,8.3,5.1,85.4
Austenitic,,,S31603,,7.2,9.3,63.7
Austenitic,,,S31603,,8.9,3.9,97.4
Austenitic,A (Resistant),A (Resistant),S31653,,5.2,0.4,24.1
Austenitic,A (Resistant),A (Resistant),S31635,,7,7.1,60.4
Austenitic,A (Resistant),A (Resistant),S31703,,7.9,2.9,77.5
Austenitic,A (Resistant),A (Resistant),S31725,,8.5,2.5,89
Duplex,A (Resistant),A (Resistant),S32900,,5.7,3.2,34.3
Duplex,A (Resistant),A (Resistant),S31803,,8.2,7.2,84
Ferritic,,,S43000,,7.2,8.2,64.2
Ferritic,B (Good),B (Good),S40500,,6.6,5.9,51.7
Ferritic,B (Good),B (Good),S40900,,5.5,3.2,30.5
Ferritic,B (Good),B (Good),S43000,,8.5,3.1,89.2
Ferritic,,,S43000,,5.6,1.2,32.6
Ferritic,A (Resistant),A (Resistant),S43400,,6.2,9.3,44.8
Martensitic,B (Good),B (Good),S40300,,6.2,6.4,43.2
Martensitic,B (Good),B (Good),S41000,,8.5,0.3,89.7
Martensitic,,,S41000,,7.7,6.6,73.8
Martensitic,,,S41000,,8.2,4.5,83.7
Martensitic,B (Good),B (Good),S41600,,6,9.7,40
Martensitic,B (Good),B (Good),S42000,,7.5,8.2,70
Aluminum bronze,A (Resistant),A (Resistant),,,7.3,1.7,65.7
Brass,A (Resistant),A (Resistant),,,8.3,7.2,86.6
Brass,A (Resistant),A (Resistant),C26000,,8.6,4.9,92.5
Brass,A (Resistant),A (Resistant),C22000,,5,1.9,21
Copper-nickel,A (Resistant),A (Resistant),C71500,,7.7,7,73.9
Copper-nickel,A (Resistant),A (Resistant),C70600,,5.2,5.5,24.1
Leaded brass,A (Resistant),A (Resistant),C38500,,7.2,0.3,63.9
Leaded brass,A (Resistant),A (Resistant),C36000,,6.2,6.5,43
Nickel-silver,A (Resistant),A (Resistant),,,6.2,6.3,44.5
Phosphor bronze,A (Resistant),A (Resistant),C51000,,6.4,1.4,48.2
